CODIGO_PROYECTO,TITULO_PROYECTO,ENTIDAD,AREA_TEMATICA,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,,,,,,,
449045625896,ESTABLECIMIENTO DE UN LABORATORIO DE ID EN LA EMPRESA BUSINESS LABORATORY LTDA PARA COMPLEMENTAR SUS NEGOCIOS DE CONSULTORIA FARMACEUTICA Y MATERIAS PRIMAS,BUSINESSES LABORATORY S.A.S.,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
121647922001,Assessment of Intended Deformations and Kinematic Error Identification in Mechanisms Machine Tools and Manipulators,UNIVERSIDAD EAFIT,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
111849826372,DIAGNOSTICO AUTOMATICO DE FALLAS EN CENTRALES DE GENERACION HIDRAULICA DEL SISTEMA EMGESA,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
124349826397,CARACTERIZACION DE HUECOS DE TENSION EN CIRCUITOS DE CODENSA E.S.P Y PLANTEAMIENTO DE SOLUCIONES,UNIVERSIDAD DE LA SALLE - UNISALLE,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
111551929168,Identificacion de genes de resistencia a benznidazole en Trypanosoma cruzi mediante el analisis del transcriptoma,UNIVERSIDAD DE ANTIOQUIA - UDEA,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
120449826382,Distribucion electrica inteligente - SILICE - Fase II,UNIVERSIDAD DE LOS ANDES - UNIANDES,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
111549826376, Evaluacion de peliculas auto-limpiantes de TiO2 aplicadas sobre aisladores ceramicos de sistemas de distribucion de energia electrica,UNIVERSIDAD DE ANTIOQUIA - UDEA,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
110149826383,Modelos para determinar la vida util remanente de centrales de generacion,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
234149826389,ESTRUCTURACION DE UN PILOTO DE TROLEBUS MODERNO EN UNA LINEA DE TRANSPORTE PUBLICO EN BOGOTA,CORPORACION CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO DEL SECTOR ELECTRICO - CIDET SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
120449826400,Sistema inalambrico para prevenir el hurto de energia electrica,UNIVERSIDAD DE LOS ANDES - UNIANDES,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
120449826367,Alimentacion Confiable y Manejo de la Calidad de la Potencia Electrica en Sistemas Electricos de Transporte Masivo (SETM),UNIVERSIDAD DE LOS ANDES - UNIANDES,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
110651928920,EFECTO DE LA COMPLEMENTACION CON MICRONUTRIENTES ANTIOXIDANTES DURANTE LA GESTACION SOBRE EL GRADO DE METILACION DE REGIONES PROMOTORAS DE GENES RELACIONADOS CON LA FUNCION ENDOTELIAL EN EL NEONATO,UNIVERSIDAD DEL VALLE - UNIVALLE,SALUD SEXUAL Y REPRODUCTIVA,VALLE DEL CAUCA,CALI,,,,,,,
110651929063,DESARROLLO DE UN MODELO DE ELEMENTOS FINITOS PARA ESTUDIAR EL RIESGO DE LESION EN COLUMNA LUMBOSACRA DURANTE EL TRANSPORTE DE PESOS ,UNIVERSIDAD DEL VALLE - UNIVALLE,SALUD Y COMUNIDAD,VALLE DEL CAUCA,CALI,,,,,,,
821351929111,ESTABLECIMIENTO DE UNA LINEA DE BASE DE SUSCEPTIBILIDAD IN VIVO E IN VITRO A COARTEM EN 3 LOCALIDADES ENDEMICAS PARA MALARIA EN COLOMBIA,ASOCIACION COLOMBIANA PARA EL AVANCE DE LA CIENCIA  - ACAC,SALUD Y COMUNIDAD,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
110251929238,Determinacion de zonas de riesgo de transmision de T. cruzi via oral e implementacion de un sistema de alerta temprano para chagas agudo en Bucaramanga.,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,SALUD Y COMUNIDAD,SANTANDER,BUCARAMANGA,,,,,,,
